service,state,sbytes,dbytes,sttl,dttl,sload,sloss,dloss,smean,dmean,response_body_len,ct_srv_src,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,attack_cat
0,1,5248,0,254,0,9017.739258,0,0,64,0,0,1,1,1,1,0,0,1,7
0,1,200,0,254,0,266666656,0,0,100,0,0,3,1,1,3,0,0,3,4
6,1,114,0,254,0,50666664,0,0,57,0,0,33,17,17,33,0,0,33,6
0,0,1596,125854,62,252,4335.239746,6,53,50,1144,0,3,1,1,1,0,0,2,4
0,2,568,312,31,29,757838.5625,0,0,142,78,0,4,1,1,4,0,0,9,0
0,1,200,0,254,0,266666656,0,0,100,0,0,2,1,1,2,0,0,2,4
0,2,520,304,31,29,1841794.625,0,0,130,76,0,6,1,1,4,0,0,5,0
6,1,114,0,254,0,50666664,0,0,57,0,0,28,24,13,28,0,0,28,6
0,0,3182,39076,31,29,891809.8125,7,20,61,724,0,5,1,1,2,0,0,5,0
0,0,199469,1214,254,252,677582.4375,75,1,1279,43,0,3,1,1,2,0,0,5,5
0,1,200,0,254,0,88888888,0,0,100,0,0,5,2,2,5,0,0,5,3
9,0,1664,132820,62,252,2545.636719,7,56,46,1126,0,1,1,1,1,0,0,1,4
6,1,114,0,254,0,45600000,0,0,57,0,0,32,16,8,32,0,0,32,6
6,1,114,0,254,0,50666664,0,0,57,0,0,34,34,16,34,0,0,34,6
6,1,114,0,254,0,152000000,0,0,57,0,0,39,6,6,39,0,0,39,6
0,0,3614,50036,31,29,710498,7,24,60,807,0,7,1,1,2,0,0,2,0
4,0,1000,268,254,252,26987.7207,2,1,100,45,0,1,1,1,1,0,0,1,4
0,0,1540,1644,31,29,827566.4375,4,4,96,91,0,9,6,1,6,0,0,12,0
0,1,200,0,254,0,88888888,0,0,100,0,0,3,1,1,3,0,0,3,6
1,0,798,682,254,252,5902.830566,4,4,57,57,0,1,1,1,1,1,1,1,0
6,1,114,0,254,0,65142856,0,0,57,0,0,29,13,13,29,0,0,29,6
6,1,114,0,254,0,50666664,0,0,57,0,0,32,16,16,32,0,0,32,6
0,1,5400,0,254,0,718.200195,0,0,108,0,0,1,1,1,1,0,0,1,3
0,1,200,0,254,0,266666656,0,0,100,0,0,8,5,5,10,0,0,8,3
4,0,1684,10168,31,29,7088.409668,3,5,120,565,3924,2,1,1,2,0,0,3,0
0,0,6678,2648,254,252,39583.02734,8,7,304,132,0,8,1,1,1,0,0,1,4
0,1,1064,0,254,0,425600000,0,0,532,0,0,2,1,1,1,0,0,1,5
0,1,200,0,254,0,200000000,0,0,100,0,0,3,1,1,3,0,0,3,4
0,1,200,0,254,0,266666656,0,0,100,0,0,10,10,10,10,0,0,10,1
0,0,4238,63516,31,29,957672.3125,7,30,59,858,0,15,1,1,2,0,0,6,0
0,0,4658,354,254,252,20460.88477,3,1,388,44,0,2,1,1,2,0,0,4,0
0,0,2438,18508,31,29,452481.375,7,13,64,463,0,3,1,1,1,0,0,13,0
4,0,828,268,254,252,9370.373047,2,1,83,45,0,1,1,1,1,0,0,1,4
0,0,1002,930,254,252,4821.979492,3,2,84,78,0,2,1,1,2,0,0,2,5
2,0,37808,3172,31,29,1285465,19,8,700,83,0,1,1,1,1,0,0,1,0
0,1,200,0,254,0,266666656,0,0,100,0,0,7,2,2,7,0,0,7,2
6,1,114,0,254,0,57000000,0,0,57,0,0,11,11,11,11,0,0,11,6
6,1,114,0,254,0,57000000,0,0,57,0,0,27,16,16,28,0,0,27,6
6,2,132,164,31,29,493919.5625,0,0,66,82,0,3,2,2,2,0,0,3,0
0,0,68185,698,254,252,307018.3125,27,1,1136,44,0,1,1,1,1,0,0,1,5
6,1,114,0,254,0,57000000,0,0,57,0,0,21,18,18,21,0,0,21,6
0,0,588,268,254,252,7089.980957,2,1,59,45,0,3,1,1,2,0,0,2,0
0,0,986,738,254,252,7476.241211,3,2,82,92,0,5,1,1,3,0,0,4,0
6,1,114,0,254,0,152000000,0,0,57,0,0,31,15,15,31,0,0,31,6
2,0,37914,3172,31,29,648958.3125,19,8,702,83,0,1,1,1,1,0,0,1,0
0,1,200,0,254,0,100000000,0,0,100,0,0,5,1,1,5,0,0,5,3
0,1,46,0,0,0,0,0,0,46,0,0,2,2,2,2,0,0,2,0
0,1,200,0,254,0,160000000,0,0,100,0,0,2,1,1,2,0,0,2,4
0,0,774,556,254,252,6634.203125,4,3,55,56,0,2,1,1,2,0,0,2,0
1,0,1486,958,254,252,12370.37012,5,5,93,68,0,1,1,1,1,1,1,1,4
0,1,200,0,254,0,88888888,0,0,100,0,0,4,2,2,6,0,0,4,4
0,1,180,0,254,0,144000000,0,0,90,0,0,10,2,2,10,0,0,10,5
4,0,1614,1160,254,252,12385.64258,2,2,161,116,109,1,1,1,1,0,0,1,4
6,1,114,0,254,0,50666664,0,0,57,0,0,30,16,16,30,0,0,30,6
0,0,1540,1644,31,29,635633.3125,4,4,96,91,0,10,7,1,7,0,0,18,0
0,1,104,0,254,0,52000000,0,0,52,0,0,6,3,1,6,0,0,6,0
0,0,2958,32642,31,29,341255.0938,7,18,62,653,0,2,1,1,1,0,0,5,0
4,0,980,354,254,252,4007.453857,2,1,98,44,0,2,1,1,1,0,0,1,3
0,1,200,0,254,0,400000000,0,0,100,0,0,8,3,3,9,0,0,8,3
1,0,634,682,254,252,7413.930176,3,4,53,57,0,3,1,1,3,0,0,3,0
0,0,7814,14990,31,29,71377.00781,30,32,64,119,0,4,1,1,1,0,0,5,0
2,0,37808,3380,31,29,658484.6875,19,8,700,80,0,1,1,1,1,0,0,1,0
0,1,104,0,254,0,59428572,0,0,52,0,0,3,2,1,3,0,0,4,5
0,0,824,354,254,252,5251.293945,2,1,82,44,0,7,3,3,6,0,0,9,5
0,0,508,354,254,252,7695.894531,2,1,51,44,0,9,2,1,8,0,0,8,0
0,1,78,0,254,0,39000000,0,0,39,0,0,8,1,1,8,0,0,8,0
7,0,3728,5474,31,29,4766743.5,7,7,117,228,0,2,1,1,2,0,0,1,0
4,0,826,1984,62,252,18614.13477,2,2,83,248,592,1,1,1,1,0,0,1,3
6,1,114,0,254,0,76000000,0,0,57,0,0,30,17,17,30,0,0,30,6
0,0,2054,2478,31,29,102528.5781,6,6,93,103,0,1,1,1,1,0,0,5,0
6,2,132,164,31,29,520710.0313,0,0,66,82,0,2,2,1,1,0,0,1,0
0,0,910,354,254,252,10178.48145,2,1,91,44,0,11,1,1,7,0,0,7,5
4,0,912,268,254,252,8978.761719,2,1,91,45,0,1,1,1,1,0,0,1,7
0,1,46,0,0,0,0,0,0,46,0,0,2,2,2,2,0,0,2,0
0,1,200,0,254,0,160000000,0,0,100,0,0,12,3,3,17,0,0,12,3
5,0,364,5520,62,252,1951.776245,1,3,46,552,0,1,1,1,2,0,0,1,4
0,1,200,0,254,0,88888888,0,0,100,0,0,14,5,5,17,0,0,14,4
0,0,534,354,254,252,3458.907227,2,1,53,44,0,5,2,1,3,0,0,4,5
6,1,114,0,254,0,57000000,0,0,57,0,0,26,26,11,26,0,0,26,6
0,0,7820,15736,31,29,37422.42969,30,32,64,125,0,5,1,1,1,0,0,5,0
0,0,564,354,254,252,5255.976562,2,1,56,44,0,1,1,1,2,0,0,1,7
0,0,564,354,254,252,5604.187988,2,1,56,44,0,3,1,1,1,0,0,1,7
2,0,17867,1662,62,252,119899.875,13,8,558,83,0,1,1,1,1,0,0,1,4
0,2,520,304,31,29,1792073.5,0,0,130,76,0,5,1,1,1,0,0,3,0
6,1,114,0,254,0,91200000,0,0,57,0,0,24,16,16,24,0,0,24,6
0,0,5480,268,254,252,45497.5625,3,1,457,45,0,2,1,1,1,0,0,1,3
6,2,146,178,31,29,588116.8125,0,0,73,89,0,4,1,1,2,0,0,4,0
0,0,534,354,254,252,4380.118652,2,1,53,44,0,4,1,1,4,0,0,5,0
6,1,114,0,254,0,57000000,0,0,57,0,0,14,12,12,14,0,0,14,6
