service,state,sbytes,dbytes,sttl,dttl,sload,sloss,dloss,smean,dmean,response_body_len,ct_srv_src,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,attack_cat
1,0,1150,1642,62,252,6248.035156,7,9,52,75,0,1,1,1,2,1,1,1,1
4,0,930,1290,62,252,5947.758301,2,2,78,129,178,2,2,2,2,0,0,2,2
4,0,1044,268,254,252,40393.40625,2,1,104,45,0,1,1,1,1,0,0,1,2
0,0,127160,870,254,252,618032.0625,48,1,1247,44,0,4,2,2,3,0,0,3,2
6,1,114,0,254,0,57000000,0,0,57,0,0,34,34,16,34,0,0,34,2
0,1,200,0,254,0,160000000,0,0,100,0,0,7,3,3,7,0,0,7,2
4,0,822,1186,62,252,2537.675049,2,2,82,148,165,1,1,1,1,0,0,2,1
0,1,104,0,254,0,104000000,0,0,52,0,0,4,1,1,2,0,0,2,2
0,1,200,0,254,0,200000000,0,0,100,0,0,4,2,2,6,0,0,4,2
4,0,818,354,254,252,10601.72266,2,1,82,44,0,1,1,1,1,0,0,1,2
0,1,200,0,254,0,266666656,0,0,100,0,0,4,3,3,4,0,0,4,1
0,0,1026,5746,62,252,7973.618652,6,8,57,287,0,1,1,1,1,0,0,1,1
0,1,200,0,254,0,88888888,0,0,100,0,0,7,3,3,7,0,0,7,1
0,1,200,0,254,0,400000000,0,0,100,0,0,8,3,3,9,0,0,8,1
0,0,564,354,254,252,5300.791504,2,1,56,44,0,4,1,1,1,0,0,1,2
6,1,114,0,254,0,50666664,0,0,57,0,0,21,16,16,21,0,0,21,2
1,0,1236,1630,62,252,3829.42749,7,9,52,74,0,1,1,1,2,1,1,1,1
6,1,114,0,254,0,456000000,0,0,57,0,0,23,23,12,23,0,0,23,2
6,1,114,0,254,0,152000000,0,0,57,0,0,42,32,16,42,0,0,42,2
6,1,114,0,254,0,152000000,0,0,57,0,0,16,16,16,16,0,0,16,2
0,1,200,0,254,0,266666656,0,0,100,0,0,4,2,2,4,0,0,4,1
6,1,114,0,254,0,50666664,0,0,57,0,0,41,39,24,41,0,0,41,2
6,1,114,0,254,0,91200000,0,0,57,0,0,26,16,16,26,0,0,26,2
6,1,114,0,254,0,91200000,0,0,57,0,0,34,18,18,34,0,0,34,2
0,1,200,0,254,0,200000000,0,0,100,0,0,4,2,2,4,0,0,4,1
4,0,1616,354,254,252,7479.023438,2,1,162,44,0,3,2,1,1,0,0,1,2
6,1,114,0,254,0,91200000,0,0,57,0,0,19,11,11,19,0,0,19,2
0,1,2122,0,254,0,771636352,0,0,1061,0,0,1,1,1,2,0,0,1,2
5,0,364,898,62,252,4614.010254,1,2,46,112,0,1,1,1,2,0,0,1,1
4,0,818,1320,62,252,7074.01416,2,2,82,132,203,3,1,1,1,0,0,1,1
6,1,114,0,254,0,152000000,0,0,57,0,0,13,13,13,13,0,0,13,2
6,1,114,0,254,0,456000000,0,0,57,0,0,15,15,15,15,0,0,15,2
6,1,114,0,254,0,152000000,0,0,57,0,0,26,16,16,26,0,0,26,2
6,1,114,0,254,0,57000000,0,0,57,0,0,27,17,17,27,0,0,27,2
0,1,1064,0,254,0,425600000,0,0,532,0,0,35,10,1,35,0,0,35,2
0,1,1602,0,254,0,640800000,0,0,801,0,0,2,1,1,2,0,0,2,2
6,1,114,0,254,0,152000000,0,0,57,0,0,17,17,17,17,0,0,17,2
4,0,1264,100030,62,252,5868.677734,2,38,63,1250,48128,1,1,1,1,0,0,1,1
6,1,114,0,254,0,57000000,0,0,57,0,0,16,14,14,16,0,0,16,2
0,1,200,0,254,0,800000000,0,0,100,0,0,6,3,3,6,0,0,6,2
0,0,756,354,254,252,12854.96875,2,1,76,44,0,2,2,1,2,0,0,2,2
0,1,200,0,254,0,160000000,0,0,100,0,0,12,5,5,17,0,0,12,1
0,0,1058,716,254,252,10937.55664,3,2,88,90,0,4,1,1,4,0,0,4,2
6,1,114,0,254,0,228000000,0,0,57,0,0,24,14,14,24,0,0,24,2
1,0,1594,682,254,252,11313.9834,3,4,133,57,0,2,1,1,2,0,0,2,2
0,4,4352,0,254,0,2018.529541,0,0,272,0,0,2,2,2,4,0,0,2,1
4,0,774,1900,62,252,11285.71289,2,2,77,238,0,1,1,1,1,0,0,1,1
4,0,1052,832,254,252,16032.60645,2,2,105,104,0,3,2,1,3,0,0,3,1
6,1,114,0,254,0,50666664,0,0,57,0,0,33,16,16,33,0,0,33,2
6,1,114,0,254,0,57000000,0,0,57,0,0,22,17,17,23,0,0,22,2
0,1,200,0,254,0,80000000,0,0,100,0,0,6,4,4,8,0,0,6,2
0,1,200,0,254,0,133333328,0,0,100,0,0,5,1,1,5,0,0,5,1
4,0,5204,931785,62,252,8237.014648,2,356,46,1301,0,1,1,1,1,0,0,1,1
0,0,12730,28840,62,252,99587.08594,10,15,455,848,0,1,1,1,1,0,0,1,1
0,0,564,354,254,252,6069.838867,2,1,56,44,0,2,1,1,1,0,0,7,2
6,1,114,0,254,0,57000000,0,0,57,0,0,33,17,17,33,0,0,33,2
0,1,200,0,254,0,100000000,0,0,100,0,0,4,1,1,4,0,0,4,1
6,1,114,0,254,0,57000000,0,0,57,0,0,35,17,17,35,0,0,35,2
0,1,200,0,254,0,88888888,0,0,100,0,0,2,1,1,2,0,0,2,1
0,1,200,0,254,0,88888888,0,0,100,0,0,6,1,1,6,0,0,6,1
6,1,114,0,254,0,50666664,0,0,57,0,0,26,17,17,26,0,0,26,2
6,1,114,0,254,0,91200000,0,0,57,0,0,7,7,7,7,0,0,7,2
6,1,114,0,254,0,50666664,0,0,57,0,0,17,17,17,17,0,0,17,2
4,0,68115,612,254,252,470429.5,26,1,1174,44,0,1,1,1,1,0,0,2,2
6,1,114,0,254,0,50666664,0,0,57,0,0,33,16,16,33,0,0,33,2
0,1,200,0,254,0,266666656,0,0,100,0,0,7,1,1,8,0,0,7,1
6,1,114,0,254,0,91200000,0,0,57,0,0,31,30,15,31,0,0,31,2
0,0,1058,744,254,252,10741.12402,3,2,88,93,0,2,1,1,2,0,0,2,2
6,1,114,0,254,0,456000000,0,0,57,0,0,26,9,9,26,0,0,26,2
6,1,114,0,254,0,228000000,0,0,57,0,0,24,24,15,24,0,0,24,2
0,1,200,0,254,0,88888888,0,0,100,0,0,5,1,1,7,0,0,5,1
0,0,926,956,254,252,12791.83691,4,2,66,120,0,2,1,1,1,0,0,1,1
0,0,904,562,254,252,24709.66406,3,3,75,56,0,1,1,1,1,0,0,1,1
0,0,590,268,254,252,6239.442871,2,1,59,45,0,6,1,1,5,0,0,8,2
0,0,564,354,254,252,4458.394043,2,1,56,44,0,2,1,1,1,0,0,1,2
0,1,2184,0,254,0,604.231323,0,0,52,0,0,1,1,1,1,0,0,1,1
6,1,114,0,254,0,152000000,0,0,57,0,0,17,17,17,17,0,0,17,2
4,0,850,1466,62,252,19278.99023,2,2,85,183,309,2,1,1,1,0,0,1,1
0,1,78,0,254,0,52000000,0,0,39,0,0,1,1,1,1,0,0,1,1
