service,state,sbytes,dbytes,sttl,dttl,sload,sloss,dloss,smean,dmean,response_body_len,ct_srv_src,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,attack_cat
4,0,1630,5362,62,252,7268.567871,4,4,116,447,109,2,1,1,3,0,0,2,4
0,1,200,0,254,0,100000000,0,0,100,0,0,6,1,1,6,0,0,6,4
0,0,1002,730,254,252,6861.806641,3,2,84,91,0,4,1,1,1,0,0,2,4
0,1,200,0,254,0,88888888,0,0,100,0,0,5,2,2,5,0,0,5,3
0,1,200,0,254,0,44444444,0,0,100,0,0,4,1,1,4,0,0,4,3
0,1,200,0,254,0,160000000,0,0,100,0,0,6,1,1,6,0,0,6,3
0,1,200,0,254,0,30769232,0,0,100,0,0,5,2,2,5,0,0,5,4
0,1,200,0,254,0,160000000,0,0,100,0,0,4,2,2,4,0,0,4,3
1,0,1330,1624,62,252,2159.832275,7,9,51,74,0,1,1,1,2,1,1,1,4
0,0,4700,518,254,252,28863.17773,4,2,336,52,0,2,1,1,1,0,0,1,4
4,0,762,268,254,252,29452.80469,2,1,76,45,0,2,1,1,1,0,0,1,4
5,0,364,724,62,252,2399.195312,1,2,46,91,0,1,1,1,1,0,0,1,4
0,0,608,646,254,252,3989.919922,2,3,61,65,0,6,1,1,2,0,0,3,4
0,1,180,0,254,0,239999984,0,0,90,0,0,4,4,3,3,0,0,3,3
0,0,1274,63996,62,252,4808.880859,6,29,53,1032,0,1,1,1,1,0,0,2,4
0,1,200,0,254,0,200000000,0,0,100,0,0,4,2,2,4,0,0,4,4
2,0,11314,1780,62,252,42674.94141,10,8,435,89,0,1,1,1,2,0,0,1,4
0,1,60,0,0,0,0,0,0,60,0,0,4,2,2,4,0,0,4,3
0,1,200,0,254,0,80000000,0,0,100,0,0,3,2,2,3,0,0,3,4
0,1,60,0,0,0,0,0,0,60,0,0,4,2,2,4,0,0,4,3
4,0,780,5200,62,252,22348.5918,2,3,78,520,0,2,1,1,1,0,0,1,4
0,1,21094,0,254,0,9312.964844,0,0,53,0,0,1,1,1,1,0,0,2,3
0,1,200,0,254,0,200000000,0,0,100,0,0,5,3,3,5,0,0,5,4
4,0,916,1106,62,252,5303.164062,2,2,76,111,96,1,1,1,1,0,0,2,4
4,0,5806,268,254,252,83090.57031,3,1,484,45,0,2,2,1,1,0,0,1,4
0,4,4352,0,254,0,2018.529541,0,0,272,0,0,2,2,2,4,0,0,2,4
0,1,200,0,254,0,160000000,0,0,100,0,0,6,2,2,6,0,0,6,3
2,0,12310,1898,62,252,34708.20703,10,8,473,95,0,1,1,1,1,0,0,1,4
2,0,72776,2118,62,252,563706.1875,33,8,1011,81,0,1,1,1,1,0,0,1,4
0,1,200,0,254,0,88888888,0,0,100,0,0,9,2,2,12,0,0,9,4
0,0,35658,3920,254,252,157785.6875,22,14,686,123,0,1,1,1,1,0,0,1,4
0,1,200,0,254,0,88888888,0,0,100,0,0,9,3,3,11,0,0,9,3
0,1,200,0,254,0,200000000,0,0,100,0,0,4,1,1,4,0,0,4,4
0,1,200,0,254,0,88888888,0,0,100,0,0,2,1,1,2,0,0,2,4
0,1,200,0,254,0,133333328,0,0,100,0,0,7,4,4,10,0,0,7,3
10,1,150,0,254,0,54545456,0,0,75,0,0,2,3,3,3,0,0,2,4
0,0,3852,33430,62,252,6889.93457,12,19,128,760,0,11,1,1,1,0,0,1,4
0,0,1460,86762,62,252,10199.74805,6,39,52,1058,0,2,1,1,1,0,0,1,4
9,0,1284,68650,62,252,2741.362061,7,32,46,928,0,1,1,1,1,0,0,1,4
1,0,1174,1610,62,252,7498.628418,7,9,53,73,0,1,1,1,2,1,1,1,4
0,1,200,0,254,0,160000000,0,0,100,0,0,5,2,2,5,0,0,5,3
0,1,200,0,254,0,88888888,0,0,100,0,0,6,2,2,6,0,0,6,4
0,1,200,0,254,0,160000000,0,0,100,0,0,7,2,2,7,0,0,7,3
0,1,200,0,254,0,800000000,0,0,100,0,0,5,2,2,5,0,0,5,4
0,4,16320,0,254,0,2316.932373,0,0,272,0,0,1,1,1,3,0,0,1,3
4,0,862,33756,62,252,21602.79883,2,13,72,1125,16036,1,1,1,1,0,0,1,4
4,0,800,6084,62,252,10635.56738,2,3,80,608,2599,2,1,1,1,0,0,1,4
