service,state,sbytes,dbytes,sttl,dttl,sload,sloss,dloss,smean,dmean,response_body_len,ct_srv_src,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_srv_dst,attack_cat
6,1,114,0,254,0,50666664,0,0,57,0,0,27,17,17,27,0,0,27,6
0,0,1258,856,254,252,10497.50586,3,2,105,86,0,2,1,1,2,0,0,2,5
6,1,114,0,254,0,57000000,0,0,57,0,0,15,15,15,15,0,0,15,6
0,1,1064,0,254,0,851200000,0,0,532,0,0,5,2,1,5,0,0,5,5
6,1,114,0,254,0,91200000,0,0,57,0,0,26,9,9,26,0,0,26,6
6,1,114,0,254,0,50666664,0,0,57,0,0,34,16,16,35,0,0,34,6
0,0,566,268,254,252,10001.39746,2,1,57,45,0,6,2,1,6,0,0,6,5
6,1,114,0,254,0,114000000,0,0,57,0,0,31,6,2,31,0,0,31,6
0,0,534,268,254,252,6973.503418,2,1,53,45,0,5,1,1,4,0,0,30,5
6,1,114,0,254,0,91200000,0,0,57,0,0,44,10,7,44,0,0,44,6
6,1,114,0,254,0,152000000,0,0,57,0,0,30,16,16,30,0,0,30,6
0,1,1450,0,254,0,1160000000,0,0,725,0,0,4,1,1,3,0,0,3,5
0,4,17408,0,254,0,2307.859131,0,0,272,0,0,2,2,2,5,0,0,2,6
6,1,114,0,254,0,50666664,0,0,57,0,0,22,22,10,22,0,0,22,6
6,1,114,0,254,0,50666664,0,0,57,0,0,16,16,16,17,0,0,16,6
6,1,114,0,254,0,57000000,0,0,57,0,0,13,6,6,13,0,0,13,6
0,1,104,0,254,0,138666656,0,0,52,0,0,6,6,1,6,0,0,6,5
0,1,78,0,254,0,44571428,0,0,39,0,0,1,1,1,1,0,0,1,2
0,0,1066,724,254,252,17043.07813,3,2,89,91,0,2,2,1,2,0,0,2,5
0,0,1626,830,254,252,17960.12305,3,2,136,83,0,4,1,1,3,0,0,3,5
0,1,200,0,254,0,88888888,0,0,100,0,0,6,3,3,6,0,0,6,2
6,1,114,0,254,0,50666664,0,0,57,0,0,33,33,16,33,0,0,33,6
0,0,534,268,254,252,11150.48828,2,1,53,45,0,13,1,1,12,0,0,12,5
0,0,564,354,254,252,3829.500732,2,1,56,44,0,5,1,1,1,0,0,1,7
0,0,77491,698,254,252,317028.3125,30,1,1174,44,0,4,1,1,3,0,0,3,5
0,0,2062,354,254,252,20877.71484,2,1,206,44,0,8,2,1,8,0,0,8,5
0,0,68179,612,254,252,404594.625,27,1,1136,44,0,3,1,1,3,0,0,4,5
6,1,114,0,254,0,50666664,0,0,57,0,0,26,17,17,26,0,0,26,6
0,0,1106,796,254,252,3930.009766,3,2,92,80,0,2,2,1,1,0,0,3,5
6,1,114,0,254,0,65142856,0,0,57,0,0,24,7,7,25,0,0,24,6
0,1,1450,0,254,0,966666624,0,0,725,0,0,33,3,1,33,0,0,33,5
6,1,114,0,254,0,50666664,0,0,57,0,0,26,16,16,26,0,0,26,6
0,1,200,0,254,0,100000000,0,0,100,0,0,2,1,1,2,0,0,2,1
0,0,1044,824,254,252,4529.276855,3,2,87,82,0,6,1,1,2,0,0,2,5
0,0,652,354,254,252,8783.826172,2,1,65,44,0,3,2,1,3,0,0,3,5
6,1,114,0,254,0,50666664,0,0,57,0,0,23,7,7,23,0,0,23,6
6,1,114,0,254,0,65142856,0,0,57,0,0,16,16,16,16,0,0,16,6
6,1,114,0,254,0,91200000,0,0,57,0,0,38,32,16,38,0,0,38,6
0,0,564,354,254,252,3795.835693,2,1,56,44,0,4,1,1,2,0,0,3,7
0,1,200,0,254,0,88888888,0,0,100,0,0,13,4,4,13,0,0,13,7
0,0,532,354,254,252,3111.255859,1,0,53,44,0,6,4,4,6,0,0,7,5
4,0,758,354,254,252,9025.125,2,1,76,44,0,8,2,1,8,0,0,8,5
6,1,114,0,254,0,91200000,0,0,57,0,0,32,16,16,32,0,0,32,6
0,1,200,0,254,0,88888888,0,0,100,0,0,5,2,2,5,0,0,5,1
6,1,114,0,254,0,57000000,0,0,57,0,0,32,15,15,32,0,0,32,6
6,1,114,0,254,0,152000000,0,0,57,0,0,32,16,16,32,0,0,32,6
6,1,114,0,254,0,57000000,0,0,57,0,0,17,13,13,17,0,0,17,6
6,1,114,0,254,0,152000000,0,0,57,0,0,33,17,17,33,0,0,33,6
6,1,114,0,254,0,57000000,0,0,57,0,0,27,17,17,27,0,0,27,6
6,1,114,0,254,0,57000000,0,0,57,0,0,16,16,16,16,0,0,16,6
6,1,114,0,254,0,114000000,0,0,57,0,0,28,17,17,28,0,0,28,6
